 is up 
10.30.98.2   is up 
10.30.98.3 is up 
10.30.98.14 is up 
10.30.98.91   is up 
10.30.98.92 is up 
10.63.23.1   is up 
10.63.23.2 is up 
10.63.88.1 is up 
10.63.88.6 is up 
10.88.88.1 is up 
10.88.89.1 is up 
10.88.98.2   is up 
10.88.98.3 is up 
10.88.98.12   is up 
10.88.98.13 is up 
10.88.98.41 is up 
10.210.65.12   is up 
10.210.65.13 is up 
10.210.65.154 is up 
10.211.1.247   is up 
10.211.1.248 is up 
10.211.98.2   is up 
10.211.98.3 is up 
10.211.98.10   is up 
10.211.98.11 is up 
10.211.98.22 is up 
10.211.98.25   is up 
10.211.98.26 is up 
10.211.255.3   is up 
10.211.255.6 is up 
10.211.255.23   is up 
10.211.255.24 is up 
10.232.10.119   is up 
10.232.10.120 is up 
10.232.65.164 is up 
10.232.81.251   is up 
10.232.81.254 is up 
10.232.255.103 is up 
10.232.255.106   is up 
10.232.255.108 is up 
10.232.255.207 is up 
10.239.1.2   is up 
10.239.1.3 is up 
10.239.65.13 is up 
10.240.65.12 is up 
10.240.65.14 is up 
10.240.65.30   is up 
10.240.65.31 is up 
10.240.65.154 is up 
10.240.65.159 is up 
10.240.65.164 is up 
10.240.70.134 is up 
10.240.245.1 is up 
10.240.245.12 is up 
10.241.1.30   is up 
10.241.1.31 is up 
10.241.1.247   is up 
10.241.1.248 is up 
10.241.10.116   is up 
10.241.10.117 is up 
10.241.10.119   is up 
10.241.10.120 is up 
10.241.255.12 is up 
10.241.255.15   is up 
10.241.255.16 is up 
10.241.255.18 is up 
10.241.255.20   is up 
10.241.255.23 is up 
10.241.255.27   is up 
10.241.255.28 is up 
10.241.255.32   is up 
10.241.255.34 is up 
10.241.255.39   is up 
10.241.255.40 is up 
10.241.255.44   is up 
10.241.255.45 is up 
10.241.255.51 is up 
10.241.255.57 is up 
10.241.255.60 is up 
10.241.255.70   is up 
10.241.255.71 is up 
10.241.255.74   is up 
10.241.255.75 is up 
10.241.255.82   is up 
10.241.255.83 is up 
10.241.255.91   is up 
10.241.255.94 is up 
10.241.255.103 is up 
10.241.255.223 is up 
10.241.255.225 is up 
